Point, Distance, Depth, Resistivity
T3_114.816r, 114.816, 9.77, 3512.2
T3_114.816r, 114.816, 11.6, 5693.3
T3_117.316r, 117.316, 0.854, 2125.1
T3_117.316r, 117.316, 1.79, 1861.4
T3_117.316r, 117.316, 2.83, 1694.2
T3_117.316r, 117.316, 3.97, 1264
T3_117.316r, 117.316, 5.22, 976.84
T3_117.316r, 117.316, 6.59, 977.08
T3_117.316r, 117.316, 8.11, 1308.5
T3_117.316r, 117.316, 9.77, 2115.6
T3_117.316r, 117.316, 11.6, 3415.9
T3_119.816r, 119.816, 0.854, 2661.6
T3_119.816r, 119.816, 1.79, 2139.2
T3_119.816r, 119.816, 2.83, 1819.5
T3_119.816r, 119.816, 3.97, 1140.4
T3_119.816r, 119.816, 5.22, 710.43
T3_119.816r, 119.816, 6.59, 609.52
T3_119.816r, 119.816, 8.11, 775.2
T3_119.816r, 119.816, 9.77, 1275.6
T3_119.816r, 119.816, 11.6, 2139.3
T3_122.316r, 122.316, 0.854, 2479.5
T3_122.316r, 122.316, 1.79, 2127.8
T3_122.316r, 122.316, 2.83, 1566
T3_122.316r, 122.316, 3.97, 872.55
T3_122.316r, 122.316, 5.22, 510.19
T3_122.316r, 122.316, 6.59, 430.01
T3_122.316r, 122.316, 8.11, 562.03
T3_122.316r, 122.316, 9.77, 979.94
T3_122.316r, 122.316, 11.6, 1777
T3_124.816r, 124.816, 0.854, 1857.8
T3_124.816r, 124.816, 1.79, 2251.4
T3_124.816r, 124.816, 2.83, 1848.6
T3_124.816r, 124.816, 3.97, 988.31
T3_124.816r, 124.816, 5.22, 542.05
T3_124.816r, 124.816, 6.59, 430.94
T3_124.816r, 124.816, 8.11, 553.72
T3_124.816r, 124.816, 9.77, 989.39
T3_124.816r, 124.816, 11.6, 1894.5
T3_127.316r, 127.316, 0.854, 1950.8
T3_127.316r, 127.316, 1.79, 3286.2
T3_127.316r, 127.316, 2.83, 2402.3
T3_127.316r, 127.316, 3.97, 1012
T3_127.316r, 127.316, 5.22, 475.15
T3_127.316r, 127.316, 6.59, 377.4
T3_127.316r, 127.316, 8.11, 533.93
T3_127.316r, 127.316, 9.77, 1062.8
T3_127.316r, 127.316, 11.6, 2199.9
T3_129.816r, 129.816, 0.854, 1955.6
T3_129.816r, 129.816, 1.79, 2654.9
T3_129.816r, 129.816, 2.83, 1911
T3_129.816r, 129.816, 3.97, 775.07
T3_129.816r, 129.816, 5.22, 369.5
T3_129.816r, 129.816, 6.59, 332.08
T3_129.816r, 129.816, 8.11, 549.36
T3_129.816r, 129.816, 9.77, 1231.8
T3_129.816r, 129.816, 11.6, 2739
T3_132.316r, 132.316, 0.854, 1722.1
T3_132.316r, 132.316, 1.79, 2768.2
T3_132.316r, 132.316, 2.83, 2004.3
T3_132.316r, 132.316, 3.97, 815.99
T3_132.316r, 132.316, 5.22, 410.83
T3_132.316r, 132.316, 6.59, 402.04
T3_132.316r, 132.316, 8.11, 699.86
T3_132.316r, 132.316, 9.77, 1586.2
T3_132.316r, 132.316, 11.6, 3570.9
T3_134.816r, 134.816, 0.854, 1302.8
T3_134.816r, 134.816, 1.79, 2730.5
T3_134.816r, 134.816, 2.83, 1591.5
T3_134.816r, 134.816, 3.97, 645.91
T3_134.816r, 134.816, 5.22, 384.98
T3_134.816r, 134.816, 6.59, 436.29
T3_134.816r, 134.816, 8.11, 796.77
T3_134.816r, 134.816, 9.77, 1769.4
T3_134.816r, 134.816, 11.6, 3877.4
T3_137.316r, 137.316, 0.854, 1285.6
T3_137.316r, 137.316, 1.79, 2739.2
T3_137.316r, 137.316, 2.83, 1407.5
T3_137.316r, 137.316, 3.97, 539.34
T3_137.316r, 137.316, 5.22, 322.99
T3_137.316r, 137.316, 6.59, 382.71
T3_137.316r, 137.316, 8.11, 695.87
T3_137.316r, 137.316, 9.77, 1449.3
T3_137.316r, 137.316, 11.6, 2800
T3_139.816r, 139.816, 0.854, 1724.4
T3_139.816r, 139.816, 1.79, 1943.3
T3_139.816r, 139.816, 2.83, 1523.9
T3_139.816r, 139.816, 3.97, 770.77
T3_139.816r, 139.816, 5.22, 435.74
T3_139.816r, 139.816, 6.59, 409.56
T3_139.816r, 139.816, 8.11, 588.13
T3_139.816r, 139.816, 9.77, 959
T3_139.816r, 139.816, 11.6, 1386.9
T3_142.316r, 142.316, 0.854, 2094
T3_142.316r, 142.316, 1.79, 1708.5
T3_142.316r, 142.316, 2.83, 1591.8
T3_142.316r, 142.316, 3.97, 1005.7
T3_142.316r, 142.316, 5.22, 588.63
T3_142.316r, 142.316, 6.59, 443.73
T3_142.316r, 142.316, 8.11, 440.06
T3_142.316r, 142.316, 9.77, 460.37
T3_142.316r, 142.316, 11.6, 371.28
T3_144.816r, 144.816, 0.854, 1921.5
T3_144.816r, 144.816, 1.79, 1716.7
T3_144.816r, 144.816, 2.83, 1677.2
T3_144.816r, 144.816, 3.97, 1255.2
T3_144.816r, 144.816, 5.22, 818.97
T3_144.816r, 144.816, 6.59, 550.37
T3_144.816r, 144.816, 8.11, 407.74
T3_144.816r, 144.816, 9.77, 308.69
T3_144.816r, 144.816, 11.6, 184.44
T3_147.316r, 147.316, 0.854, 1686.1
T3_147.316r, 147.316, 1.79, 1547.7
T3_147.316r, 147.316, 2.83, 1365.6
T3_147.316r, 147.316, 3.97, 952.6
T3_147.316r, 147.316, 5.22, 644.4
T3_147.316r, 147.316, 6.59, 491.41
T3_147.316r, 147.316, 8.11, 439.73
T3_147.316r, 147.316, 9.77, 443.9
T3_147.316r, 147.316, 11.6, 432.9
T3_149.816r, 149.816, 0.854, 1495.3
T3_149.816r, 149.816, 1.79, 2200.2
T3_149.816r, 149.816, 2.83, 1720.7
T3_149.816r, 149.816, 3.97, 821.3
T3_149.816r, 149.816, 5.22, 425.15
T3_149.816r, 149.816, 6.59, 349.54
T3_149.816r, 149.816, 8.11, 487.4
T3_149.816r, 149.816, 9.77, 979.1
T3_149.816r, 149.816, 11.6, 2310.1
T3_152.316r, 152.316, 0.854, 1500.1
T3_152.316r, 152.316, 1.79, 2498.7
